17
event
gridLine
gridStat
year
month
day
julday
hr(gmt)
min(gmt)
latdeg
latmin
londeg
lonmin
latitude
longitude
depth(m)
filename
 249  620.766   35.639 2004  1 14  14 22  47 -64 49.120 -64  2.550 -64.819 -64.042  150 c2004014f.std
 258  620.264   38.087 2004  1 15  15  8  52 -64 48.460 -64  5.300 -64.808 -64.088  100 c2004015a.std
 284  610.308   34.674 2004  1 15  15 16   4 -64 53.710 -64 10.310 -64.895 -64.172  760 c2004015b.std
 312  599.761   29.979 2004  1 16  16  0   5 -64 59.650 -64 14.620 -64.994 -64.244  632 c2004016a.std
 313  604.968   32.686 2004  1 16  16  1  51 -64 56.580 -64 12.860 -64.943 -64.214  500 c2004016b.std
 314  614.794   37.555 2004  1 16  16  3  23 -64 50.870 -64  9.330 -64.848 -64.155  554 c2004016c.std
 321  452.965   29.132 2004  1 17  17  7   0 -65 58.600 -66 21.320 -65.977 -66.355  100 c2004017a.std
 323  452.974   29.297 2004  1 17  17  9   0 -65 58.530 -66 21.470 -65.975 -66.358   50 c2004017b.std
 324  453.042   29.311 2004  1 17  17  9  47 -65 58.500 -66 21.420 -65.975 -66.357  500 c2004017c.std
 326  453.574   29.123 2004  1 17  17 23  12 -65 58.360 -66 20.760 -65.973 -66.346   10 c2004017d.std
 328  452.936   29.196 2004  1 17  17 20  20 -65 58.580 -66 21.410 -65.976 -66.357  100 c2004017e.std
 334  452.898   29.248 2004  1 17  17 18  30 -65 58.580 -66 21.490 -65.976 -66.358  100 c2004017f.std
 342  400.352   40.138 2004  1 18  18 11  22 -66 15.050 -67 20.000 -66.251 -67.333   50 c2004018a.std
 343  400.097   40.354 2004  1 18  18 11  37 -66 15.070 -67 20.440 -66.251 -67.341  180 c2004018b.std
 351  399.876   59.826 2004  1 18  18 13  49 -66  7.860 -67 39.260 -66.131 -67.654  340 c2004018c.std
 361  400.042   79.926 2004  1 18  18 18   0 -66  0.230 -67 58.130 -66.004 -67.969   50 c2004018d.std
