studyName,Grid Line,Grid Station,Name,Latitude (Œ_),Longitude (Œ_),Grid code
Sampling Grid,000,0,000.000,-68.96746,-73.56079,1
Sampling Grid,000,20,000.200,-68.83033,-73.87995,1
Sampling Grid,000,40,000.400,-68.69264,-74.19518,1
Sampling Grid,000,60,000.600,-68.55442,-74.50655,1
Sampling Grid,000,80,000.800,-68.41566,-74.81412,1
Sampling Grid,000,100,000.100,-68.27638,-75.11795,1
Sampling Grid,000,120,000.120,-68.1366,-75.4181,1
Sampling Grid,000,140,000.140,-67.99632,-75.71462,1
Sampling Grid,000,160,000.160,-67.85556,-76.00758,1
Sampling Grid,000,180,000.180,-67.71432,-76.29703,1
Sampling Grid,000,200,000.200,-67.57263,-76.58303,1
Sampling Grid,000,220,000.220,-67.42147,-76.8656,1
Sampling Grid,100,0,100.000,-68.37991,-71.70503,1
Sampling Grid,100,20,100.200,-68.24631,-72.02746,1
Sampling Grid,100,40,100.400,-68.11211,-72.34614,1
Sampling Grid,100,60,100.600,-67.97735,-72.66112,1
Sampling Grid,100,80,100.800,-67.84202,-72.97245,1
Sampling Grid,100,100,100.100,-67.70613,-73.28018,1
Sampling Grid,100,120,100.120,-67.56972,-73.58438,1
Sampling Grid,100,140,100.140,-67.43277,-73.88508,1
Sampling Grid,100,160,100.160,-67.29531,-74.18235,1
Sampling Grid,100,180,100.180,-67.15734,-74.47622,1
Sampling Grid,100,200,100.200,-67.01889,-74.76676,1
Sampling Grid,100,220,100.220,-66.87474,-75.05398,1
Sampling Grid,200,0,200.000,-67.77199,-69.94445,1
Sampling Grid,200,20,200.200,-67.64183,-70.26883,1
Sampling Grid,200,40,200.400,-67.51106,-70.58963,1
Sampling Grid,200,60,200.600,-67.37969,-70.9069,1
Sampling Grid,200,80,200.800,-67.24772,-71.22069,1
Sampling Grid,200,100,200.100,-67.11518,-71.53105,1
Sampling Grid,200,120,200.120,-66.98207,-71.83802,1
Sampling Grid,200,140,200.140,-66.84841,-72.14165,1
Sampling Grid,200,160,200.160,-66.7142,-72.44197,1
Sampling Grid,200,180,200.180,-66.57947,-72.73904,1
Sampling Grid,200,200,200.200,-66.44421,-73.0329,1
Sampling Grid,200,220,200.220,-66.3056,-73.32358,1
Sampling Grid,300,0,300.000,-67.14538,-68.27433,1
Sampling Grid,300,20,300.200,-67.01858,-68.5995,1
Sampling Grid,300,40,300.400,-66.89115,-68.92127,1
Sampling Grid,300,60,300.600,-66.76309,-69.2397,1
Sampling Grid,300,80,300.800,-66.63442,-69.55482,1
Sampling Grid,300,100,300.100,-66.50514,-69.86668,1
Sampling Grid,300,120,300.120,-66.37528,-70.1753,1
Sampling Grid,300,140,300.140,-66.24483,-70.48074,1
Sampling Grid,300,160,300.160,-66.11382,-70.78303,1
Sampling Grid,300,180,300.180,-65.98225,-71.0822,1
Sampling Grid,300,200,300.200,-65.85014,-71.3783,1
Sampling Grid,300,220,300.220,-65.71606,-71.67136,1
Sampling Grid,400,0,400.000,-66.50167,-66.68984,1
Sampling Grid,400,20,400.200,-66.37814,-67.0148,1
Sampling Grid,400,40,400.400,-66.25395,-67.33657,1
Sampling Grid,400,60,400.600,-66.12911,-67.65517,1
Sampling Grid,400,80,400.800,-66.00364,-67.97065,1
Sampling Grid,400,100,400.100,-65.87755,-68.28302,1
Sampling Grid,400,120,400.120,-65.75085,-68.59233,1
Sampling Grid,400,140,400.140,-65.62354,-68.89861,1
Sampling Grid,400,160,400.160,-65.49565,-69.2019,1
Sampling Grid,400,180,400.180,-65.36718,-69.50222,1
Sampling Grid,400,200,400.200,-65.23815,-69.79961,1
Sampling Grid,400,220,400.220,-65.1079,-70.0941,1
Sampling Grid,500,0,500.000,-65.84233,-65.18612,1
Sampling Grid,500,20,500.200,-65.72195,-65.51006,1
Sampling Grid,500,40,500.400,-65.60089,-65.83098,1
Sampling Grid,500,60,500.600,-65.47918,-66.14892,1
Sampling Grid,500,80,500.800,-65.35682,-66.46391,1
Sampling Grid,500,100,500.100,-65.23382,-66.77597,1
Sampling Grid,500,120,500.120,-65.11018,-67.08512,1
Sampling Grid,500,140,500.140,-64.98594,-67.39141,1
Sampling Grid,500,160,500.160,-64.86108,-67.69486,1
Sampling Grid,500,180,500.180,-64.73563,-67.99549,1
Sampling Grid,500,200,500.200,-64.6096,-68.29334,1
Sampling Grid,500,220,500.220,-64.48273,-68.58843,1
Sampling Grid,600,0,600.000,-65.16869,-63.75841,1
